versione 1.0 (con cast)
 
 delta T = 0.006550s, MSE = 0.00000000632270946709923, epsilon = 0.1
 delta T = 0.005570s, MSE = 0.00000000638815489395483, epsilon = 0.1
 delta T = 0.005510s, MSE = 0.00000000672559519188098, epsilon = 0.1
 delta T = 0.005520s, MSE = 0.00000000643430198010719, epsilon = 0.1
 delta T = 0.005520s, MSE = 0.00000000703988733974370, epsilon = 0.1
 delta T = 0.005680s, MSE = 0.00000000646154552086387, epsilon = 0.1
 delta T = 0.005660s, MSE = 0.00000000603492189554800, epsilon = 0.1
 delta T = 0.005800s, MSE = 0.00000000684747503143512, epsilon = 0.1
 delta T = 0.005610s, MSE = 0.00000000644162101437473, epsilon = 0.1

 delta T = 0.003960s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003300s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003920s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002880s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002920s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002930s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002860s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.006100s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.006630s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005730s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005680s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.005840s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005660s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.005830s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005790s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005700s, MSE = 0.00000000000001073976791, epsilon = 0.001
